Category,SubCategoryID,SubCategory,2013 Ethical Purchases,2012 Ethical Purchases ,2011 Ethical Purchases ,2010 Ethical Purchases ,2009 Ethical Purchases ,2008 Ethical Purchases ,Ethical purchases 2007,Ethical purchases 2006,Ethical purchases 2005,Ethical purchases 2004,Ethical purchases 2003,Ethical purchases 2002,Ethical purchases 2001,Ethical purchases 2000,Ethical purchases 1999
Ethical Food & Drink,1,Organic food,"1,660,000,000","1,660,192,000","1,382,000,000","1,475,000,000","1,704,000,000","1,986,000,000","1,982,000,000","1,737,000,000","1,473,000,000","1,193,000,000","1,015,000,000","910,000,000","805,000,000","605,000,000","390,000,000"
Ethical Food & Drink,2,Fairtrade Sales Coffee + Tea (retail),"268,867,148","272,100,000","280,100,000","262,397,229","225,100,000","202,100,000","147,100,000","118,105,478","82,400,000","62,200,000","43,800,000","30,300,000","24,500,000","20,600,000","19,500,000"
Ethical Food & Drink,,Fairtrade Sales: Other (retail),"1,484,930,000","1,280,502,012","973,000,000","802,100,000","523,800,000","432,600,000","311,200,000","167,313,606","112,532,230","78,535,377","48,500,000","32,700,000","26,000,000","12,300,000","2,400,000"
Ethical Food & Drink,3,Rainforest Alliance,"1,976,289,430","1,980,000,000","1,345,548,594","1,197,879,443","1,076,057,015","369,200,000",n/a,,,,,,,,
Ethical Food & Drink,4,Free range eggs ,"622,000,000","523,000,000","487,000,000","419,426,000","446,800,000","418,900,000","314,000,000","259,000,000","240,000,000","215,000,000","188,000,000","169,000,000","167,367,150","181,940,338","172,608,599"
Ethical Food & Drink,5,Free range poultry,"268,000,000","£267,900,000","£255,700,000","251,795,000","174,000,000","174,000,000","130,000,000","115,900,000","99,600,000",n/a,n/a,n/a,n/a,"44,000,000","37,000,000"
Ethical Food & Drink,7,Vegetarian Meat Alternatives,"668,170,000","613,000,000","573,000,000","541,000,000","549,000,000","518,000,000","505,000,000","663,800,000","638,500,000","626,000,000","613,000,000","570,000,000","530,000,000","479,000,000","452,000,000"
Ethical Food & Drink,8,Freedom Food,"1,208,925,000","1,012,500,000","740,000,000","572,727,272","490,909,090","57,645,000","28,037,640","18,477,462","15,699,736","12,612,221",n/a,n/a,n/a,n/a,n/a
Sustainable Fish,9,MSC Fish ,"412,215,228","350,741,141","279,694,091","141,256,682","135,911,252","79,804,541","69,693,600","55,151,705","16,996,088","10,586,083","10,555,955",n/a,n/a,n/a,n/a
Green Home,10,Energy efficient household appliances,"2,204,012,544","2,138,018,093","2,044,879,189","2,068,473,033","1,907,135,617","1,893,213,650","1,888,272,810","1,824,000,000","1,661,000,000","1,523,000,000","1,102,352,800","829,301,000","515,246,000","228,774,404","135,731,084"
