	Column	Indicator type	Description
Geography	Data_Zone	Code	2011 Data Zone
	Intermediate_Zone	Name	2011 Intermediate Zone name
	Council_area	Name	Council area name
Population	Total_population	Count	2014 NRS small area population estimate (unrevised)
	Working_age_population_Revised	Count	based on 2014 NRS small area population estimate (unrevised) and state pension age
Income	Income_rate	Percentage	Percentage of people who are income deprived
	Income_count	Count	Number of people who are income deprived
Employment	Employment_rate	Percentage	Percentage of people who are employment deprived
	Employment_count	Count	Number of people who areemployment deprived
Health	CIF	Standardised ratio	Comparative Illness Factor: standardised ratio
	ALCOHOL	Standardised ratio	Hospital stays related to alcohol misuse: standardised ratio
	DRUG	Standardised ratio	Hospital stays related to drug misuse: standardised ratio 
	SMR	Standardised ratio	Standardised mortality ratio
	DEPRESS	Percentage	Proportion of population being prescribed drugs for anxiety, depression or psychosis
	LBWT	Percentage	Proportion of live singleton births of low birth weight
	EMERG	Standardised ratio	Emergency stays in hospital: standardised ratio
Education, Skills and Training	Attendance	Percentage	School pupil attendance 
	Attainment	Score	Attainment of school leavers 
	Noquals	Standardised ratio	Working age people with no qualifications: standardised ratio 
	NEET	Percentage	Proportion of people aged 16-19 not in full time education, employment or training
	HESA	Percentage	Proportion of 17-21 year olds entering in to full time higher education
Geographic Access to Services	drive_petrol	Time (minutes)	Average drive time to a petrol station in minutes
	drive_GP	Time (minutes)	Average drive time to a GP surgery in minutes
	drive_PO	Time (minutes)	Average drive time to a post office in minutes
	drive_primary	Time (minutes)	Average drive time to a primary school in minutes
	drive_retail	Time (minutes)	Average drive time to a retail centre in minutes
	drive_secondary	Time (minutes)	Average drive time to a secondary school in minutes
	PT_GP	Time (minutes)	Public transport travel time to a GP surgery in minutes
	PT_Post	Time (minutes)	Public transport travel time to a post office in minutes
	PT_retail	Time (minutes)	Public transport travel time to a retail centre in minutes
Crime	crime_count	Count	Number of recorded crimes of violence, sexual offences, domestic housebreaking, vandalism, drugs offences, and common assault
	crime_rate	Count per 10,000 population	Recorded crimes of violence, sexual offences, domestic housebreaking, vandalism, drugs offences, and common assault per 10,000 people
Housing	overcrowded_count	Count	Number of people in households that are overcrowded 
	nocentralheat_count	Count	Percentage of people in households that are overcrowded 
	overcrowded_rate	Percentage	Number of people in households without central heating
	nocentralheat_rate	Percentage	Percentage of people in households without central heating

Missing data
In some data zones, the population in the considered age range is zero for some years. In these cases, a rate cannot be determined. This is denoted  by '*'.

Standardised ratios
A value of 100 is the Scotland average for a population with the same age and sex profile.

# Error in the working age population
# In a previous version of this file we included incorrect working age population figures. This only affects the variable "Working_age_population", now called "Working_age_population_Revised".
# SIMD16 ranks are not affected. For the calculation of the SIMD16 ranking, correct working age population figures were used.
