UID,NAME,Comp_08,Conv_08,Lei_08,Serv_08,CompCh_15,ConCh_15,LeiCh_15,SerCh_15,EASTING,NORTHING
TC0250,Carlisle,251.54,235.54,166.21,132.71,-80.75,-75.61,-53.35,-42.6,340181.3043,555878.4783
TC0407,Durham,307.99,330.94,229.28,274.58,-38.5,-41.37,-28.66,-34.32,427367.4658,542516.7808
TC0573,Hartlepool,121.67,103.46,70.48,101.04,-49.76,-42.31,-28.82,-41.33,450822.9651,532463.0814
TC1423,Workington,157.3,141.49,98.23,104.18,-39.32,-35.38,-24.56,-26.04,300297.093,528721.5116
TC0829,Middlesbrough,242.54,242.45,129.59,157.75,-105.02,-104.98,-56.11,-68.3,449494.1718,520211.1963
TC0375,Darlington,192.91,200.19,113.36,129.76,-48.22,-50.05,-28.34,-32.44,428899.5798,514560.9244
TC0684,Kendal,156.62,198.31,124.89,139.13,-11.12,-14.08,-8.87,-9.88,351541.6667,492754.3651
TC0724,Lancaster,162.81,194.65,136.64,137.61,-30.93,-36.98,-25.96,-26.15,347708.3333,461652.4011
TC0571,Harrogate,234.14,328.25,219.59,178.08,-15.69,-22,-14.72,-11.93,430288.6179,455302.6423
TC1434,York,302.83,349.26,248.75,222.7,-36.04,-41.56,-29.6,-26.5,460294.3827,451829.8148
TC0681,Keighley,153.21,195.76,82.06,112.53,-68.03,-86.92,-36.43,-49.96,406146.9231,441198.4615
TC0109,Beverley,213.6,198.83,185.83,173.71,-30.55,-28.43,-26.57,-24.84,503340.5039,439594.7674
TC0138,Blackpool,185.1,160.5,356.23,108.63,-37.02,-32.1,-71.25,-21.72,330924.361,436133.9457
TC0167,Bradford,175.35,204.93,116.99,127.13,-70.14,-81.97,-46.79,-50.85,416317.5708,433198.1132
TC0731,Leeds,424.61,370,290.02,296.5,-82.38,-71.78,-56.26,-57.52,430028.2402,433557.4581
TC0990,Preston,207.26,258.1,155.88,200.25,-49.95,-62.21,-37.57,-48.26,353923.6143,429368.1871
TC0134,Blackburn,265.56,214.01,120.26,159.76,-78.6,-63.34,-35.6,-47.29,368166.8782,428171.4467
TC0552,Halifax,159,217.58,126.2,121.3,-39.75,-54.39,-31.55,-30.32,409288.8095,425062.8571
TC0296,Chorley,147.67,159.59,143.45,133.24,-45.48,-49.15,-44.18,-41.03,358326.4851,417544.802
TC0662,Huddersfield,230.98,252.62,176.73,157.71,-38.57,-42.19,-29.51,-26.33,414485.4348,416705.2174
TC0149,Bolton,209,272.46,184.99,197.4,-67.09,-87.46,-59.38,-63.37,371719.4915,409205.7203
TC0076,Barnsley,162.75,191,130.18,149.91,-54.19,-63.61,-43.35,-49.92,434465.8654,406379.5673
TC0804,Manchester,391.95,428.17,238.57,246.59,-65.45,-71.51,-39.84,-41.18,383984.457,398210.3846
TC0756,Liverpool,336.33,229.26,193.2,225.17,-57.85,-39.43,-33.23,-38.73,334630.8417,390333.6055
