TC2004_ID,NAME,TotalOfPremise,Comparison_Prop,Convenience_Prop,Leisure_Prop,Services_Prop,Vacant_Prop
TC0001,Aberaeron,4,0.75,0,0.25,0,0
TC0002,Aberdare,64,0.3125,0.0625,0.109375,0.28125,0.234375
RC0001,Aberdare Retail Core,43,0.348837209,0.046511628,0.11627907,0.279069767,0.209302326
TC0003,Abergavenny,212,0.443396226,0.051886792,0.155660377,0.259433962,0.089622642
RC0002,Abergavenny Retail Core,121,0.47107438,0.05785124,0.148760331,0.231404959,0.090909091
TC0004,Abergele,23,0.260869565,0.086956522,0.130434783,0.434782609,0.086956522
TC0005,Abertillery,53,0.245283019,0.094339623,0.094339623,0.245283019,0.320754717
RC0003,Abertillery Retail Core,38,0.210526316,0.052631579,0.131578947,0.236842105,0.368421053
TC0006,Aberystwyth,122,0.368852459,0.06557377,0.147540984,0.196721311,0.221311475
RC0004,Aberystwyth Retail Core,79,0.379746835,0.050632911,0.113924051,0.227848101,0.227848101
TC0007,Abingdon,207,0.328502415,0.053140097,0.183574879,0.314009662,0.120772947
RC0005,Abingdon Retail Core,175,0.314285714,0.057142857,0.194285714,0.297142857,0.137142857
TC0008,Accrington,341,0.33431085,0.046920821,0.146627566,0.234604106,0.237536657
RC0006,Accrington Retail Core,245,0.367346939,0.053061224,0.118367347,0.240816327,0.220408163
TC0009,Acock's Green,61,0.409836066,0.131147541,0.06557377,0.327868852,0.06557377
RC0007,Acock's Green Retail Core,42,0.357142857,0.19047619,0.047619048,0.333333333,0.071428571
TC0010,Acomb,80,0.2,0.1375,0.075,0.4,0.1875
TC0011,Acton,241,0.219917012,0.141078838,0.244813278,0.269709544,0.124481328
TC0012,"Acton Park Estate, Acton",12,0.083333333,0,0.416666667,0.166666667,0.333333333
RC0008,Acton Retail Core,70,0.257142857,0.157142857,0.228571429,0.271428571,0.085714286
TC0013,Addlestone,103,0.252427184,0.087378641,0.203883495,0.349514563,0.106796117
TC0014,"Albany Road, Cardiff",99,0.282828283,0.111111111,0.141414141,0.272727273,0.191919192
RC0009,"Albany Road, Cardiff Retail Core",19,0.157894737,0.052631579,0.210526316,0.315789474,0.263157895
TC0015,Alcester,33,0.454545455,0.090909091,0.121212121,0.242424242,0.090909091
TC0016,Alderley Edge,37,0.243243243,0.108108108,0.162162162,0.351351351,0.135135135
TC0017,Aldershot,284,0.313380282,0.077464789,0.200704225,0.257042254,0.151408451
RC0010,Aldershot Retail Core,207,0.357487923,0.062801932,0.169082126,0.260869565,0.149758454
